"","pval","rank","FDRcrit","FDR","p.adj","p.adjResult"
"DHT",0.000333484427043009,1,0.000324675324675325,FALSE,2.16548329248707e-06,TRUE
"MHCII",0.000846324923123418,2,0.000649350649350649,FALSE,5.4956163839183e-06,TRUE
"ADGRB",0.00290075029374604,3,0.000974025974025974,FALSE,1.88360408684808e-05,TRUE
"FLT3",0.0030948054564317,4,0.0012987012987013,FALSE,2.00961393274786e-05,TRUE
"ncWNT",0.00453138657582523,5,0.00162337662337662,FALSE,2.94245881547093e-05,TRUE
"KIT",0.00506915652304064,6,0.00194805194805195,FALSE,3.29166007989652e-05,TRUE
"SEMA7",0.00600123449029019,7,0.00227272727272727,FALSE,3.89690551317545e-05,TRUE
"DHEAS",0.0112143303564096,8,0.0025974025974026,FALSE,7.28203269896725e-05,TRUE
"DHEA",0.0119455558393612,9,0.00292207792207792,FALSE,7.75685444114365e-05,TRUE
"THY1",0.016030915561441,10,0.00324675324675325,FALSE,0.000104096854295071,TRUE
"AGRN",0.0177609536136956,11,0.00357142857142857,FALSE,0.0001153308676214,TRUE
"KLK",0.0199556098465283,12,0.0038961038961039,FALSE,0.000129581882120314,TRUE
"CCL",0.0207215742278132,13,0.00422077922077922,FALSE,0.000134555676803982,TRUE
"EPHA",0.023764282452902,14,0.00454545454545455,FALSE,0.000154313522421441,TRUE
"HGF",0.023848668603361,15,0.00487012987012987,FALSE,0.000154861484437409,TRUE
"ACTIVIN",0.0326284792493679,16,0.0051948051948052,FALSE,0.000211873241879012,TRUE
"IFNI",0.0328033786300725,17,0.00551948051948052,FALSE,0.000213008952143328,TRUE
"PSAP",0.0333203534612085,18,0.00584415584415584,FALSE,0.000216365931566289,TRUE
"EPHB",0.0354832341034341,19,0.00616883116883117,FALSE,0.00023041061106126,TRUE
"MIF",0.0379921967809146,20,0.00649350649350649,FALSE,0.000246702576499445,TRUE
"MAG",0.046317979563342,21,0.00681818181818182,FALSE,0.000300766101060662,TRUE
"ADGRG",0.0471754890760742,22,0.00714285714285714,FALSE,0.000306334344649832,TRUE
"PTPR",0.0506033409863528,23,0.00746753246753247,FALSE,0.000328593123288005,TRUE
"Cholesterol",0.0532108025021281,24,0.00779220779220779,FALSE,0.00034552469157226,TRUE
"LIGHT",0.057274993164906,25,0.00811688311688312,FALSE,0.000371915540031857,TRUE
"CALCR",0.0576339489827617,26,0.00844155844155844,FALSE,0.000374246421965985,TRUE
"MSTN",0.0585978501607145,27,0.00876623376623377,FALSE,0.00038050552052412,TRUE
"ADGRL",0.0601023716830664,28,0.00909090909090909,FALSE,0.000390275140799132,TRUE
"NPY",0.0634475833403249,29,0.00941558441558442,FALSE,0.000411997294417694,TRUE
"IL2",0.0666275823878569,30,0.00974025974025974,FALSE,0.000432646638882188,TRUE
"PACAP",0.0694307921233522,31,0.0100649350649351,FALSE,0.000450849299502287,TRUE
"CHEMERIN",0.0694307921233522,32,0.0103896103896104,FALSE,0.000450849299502287,TRUE
"PVR",0.0694307921233522,33,0.0107142857142857,FALSE,0.000450849299502287,TRUE
"OPIOID",0.0694307921233522,34,0.011038961038961,FALSE,0.000450849299502287,TRUE
"BMP10",0.0694307921233522,35,0.0113636363636364,FALSE,0.000450849299502287,TRUE
"NMU",0.0694307921233522,36,0.0116883116883117,FALSE,0.000450849299502287,TRUE
"TSH",0.0694307921233523,37,0.012012987012987,FALSE,0.000450849299502287,TRUE
"CCK",0.0694307921233523,38,0.0123376623376623,FALSE,0.000450849299502288,TRUE
"PERIOSTIN",0.0694307921233523,39,0.0126623376623377,FALSE,0.000450849299502288,TRUE
"Desmosterol",0.0754233369696562,40,0.012987012987013,FALSE,0.000489761928374391,TRUE
"SLIT",0.0768316264807644,41,0.0133116883116883,FALSE,0.000498906665459509,TRUE
"GP1BA",0.0805370899350113,42,0.0136363636363636,FALSE,0.000522968116461112,TRUE
"APP",0.083042218427794,43,0.013961038961039,FALSE,0.000539235184596065,TRUE
"GABAA",0.0900226260785423,44,0.0142857142857143,FALSE,0.000584562507003521,TRUE
"ADGRA",0.0957939852370318,45,0.0146103896103896,FALSE,0.000622038865175531,TRUE
"NGF",0.101508172068818,46,0.0149350649350649,FALSE,0.000659143974472847,TRUE
"FSH",0.122177946907953,47,0.0152597402597403,FALSE,0.000793363291610082,TRUE
"GABAB",0.126186507216193,48,0.0155844155844156,FALSE,0.000819392904001255,TRUE
"AGT",0.126744375133302,49,0.0159090909090909,FALSE,0.000823015422943518,TRUE
"VISFATIN",0.127206211255305,50,0.0162337662337662,FALSE,0.00082601435880068,TRUE
"VTN",0.127929292914278,51,0.0165584415584416,FALSE,0.000830709694248557,TRUE
"FGF",0.137042143112105,52,0.0168831168831169,FALSE,0.000889884046182497,TRUE
"NPR2",0.139833970294182,53,0.0172077922077922,FALSE,0.000908012794118063,TRUE
"SEMA3",0.151463916748959,54,0.0175324675324675,FALSE,0.000983531926941294,TRUE
"GDNF",0.179354241993623,55,0.0178571428571429,FALSE,0.00116463793502353,TRUE
"PLAU",0.179626776919893,56,0.0181818181818182,FALSE,0.00116640764233697,TRUE
"VISTA",0.182004195335112,57,0.0185064935064935,FALSE,0.00118184542425397,TRUE
"Glutamate",0.182522874866213,58,0.0188311688311688,FALSE,0.00118521347315723,TRUE
"NRXN",0.194437985359156,59,0.0191558441558442,FALSE,0.001262584320514,TRUE
"CNTN",0.198242947862978,60,0.0194805194805195,FALSE,0.00128729186924012,TRUE
"HSPG",0.198418557997326,61,0.0198051948051948,FALSE,0.00128843219478783,TRUE
"UNC5",0.205381544666249,62,0.0201298701298701,FALSE,0.00133364639393668,TRUE
"LAMININ",0.215707937272074,63,0.0204545454545455,FALSE,0.00140070089137711,TRUE
"NT",0.216829216492481,64,0.0207792207792208,FALSE,0.00140798192527585,TRUE
"SEMA4",0.219051381327216,65,0.0211038961038961,FALSE,0.00142241156705984,TRUE
"EDA",0.230752254580578,66,0.0214285714285714,FALSE,0.00149839126351025,TRUE
"PARs",0.235254083937682,67,0.0217532467532468,FALSE,0.00152762392167326,TRUE
"ApoA",0.248443758507532,68,0.0220779220779221,FALSE,0.00161327115913982,TRUE
"FLRT",0.250860223725498,69,0.0224025974025974,FALSE,0.00162896249172401,TRUE
"JAM",0.253066725669172,70,0.0227272727272727,FALSE,0.00164329042642319,TRUE
"Adenosine",0.254968074379703,71,0.0230519480519481,FALSE,0.00165563684662145,TRUE
"NRG",0.260914238343648,72,0.0233766233766234,FALSE,0.00169424830093278,TRUE
"SPP1",0.280478883370244,73,0.0237012987012987,FALSE,0.00182129145045613,TRUE
"PDGF",0.283835041976218,74,0.024025974025974,FALSE,0.00184308468815726,TRUE
"NCAM",0.290087046250496,75,0.0243506493506494,FALSE,0.00188368211850972,TRUE
"SEMA6",0.303515718402793,76,0.0246753246753247,FALSE,0.00197088128832983,TRUE
"IGF",0.308881184518808,77,0.025,FALSE,0.00200572197739486,TRUE
"CD80",0.314248546516192,78,0.0253246753246753,FALSE,0.00204057497737787,TRUE
"ICAM",0.31611801905857,79,0.0256493506493507,FALSE,0.00205271440947123,TRUE
"PCDH",0.3193279471293,80,0.025974025974026,FALSE,0.00207355809824221,TRUE
"ANGPTL",0.319686669024268,81,0.0262987012987013,FALSE,0.00207588746119654,TRUE
"BTLA",0.320623485720789,82,0.0266233766233766,FALSE,0.00208197068649863,TRUE
"MPZ",0.327514754099714,83,0.026948051948052,FALSE,0.00212671918246568,TRUE
"SLITRK",0.336953038234576,84,0.0272727272727273,FALSE,0.00218800674178296,TRUE
"BMP",0.345263457721688,85,0.0275974025974026,FALSE,0.00224197050468629,TRUE
"IL6",0.346559197231539,86,0.0279220779220779,FALSE,0.0022503843976074,TRUE
"CDH1",0.396170831041037,87,0.0282467532467532,FALSE,0.00257253786390284,TRUE
"GAP",0.409842377123454,88,0.0285714285714286,FALSE,0.00266131413716529,TRUE
"FN1",0.430929835406469,89,0.0288961038961039,FALSE,0.00279824568445759,TRUE
"VEGF",0.434287783550847,90,0.0292207792207792,FALSE,0.00282005054253797,TRUE
"CDH",0.438831657184363,91,0.0295454545454545,FALSE,0.00284955621548288,TRUE
"CypA",0.440428895160203,92,0.0298701298701299,FALSE,0.00285992789065067,TRUE
"CXCL",0.450426876966094,93,0.0301948051948052,FALSE,0.00292484985042918,TRUE
"PRL",0.490213013832965,94,0.0305194805194805,FALSE,0.00318320138852575,TRUE
"Testosterone",0.50250909710992,95,0.0308441558441558,FALSE,0.00326304608512935,TRUE
"CD46",0.508043790497163,96,0.0311688311688312,FALSE,0.00329898565257898,TRUE
"BAFF",0.518495566950417,97,0.0314935064935065,FALSE,0.00336685433084687,TRUE
"PTN",0.528308336919646,98,0.0318181818181818,FALSE,0.00343057361636134,TRUE
"LT",0.549015281400186,99,0.0321428571428571,FALSE,0.0035650342948064,TRUE
"IL16",0.554010447106391,100,0.0324675324675325,FALSE,0.00359747043575578,TRUE
"CD40",0.554940543464933,101,0.0327922077922078,FALSE,0.00360351002249956,TRUE
"PTPRM",0.576801930352848,102,0.0331168831168831,FALSE,0.0037454670802133,TRUE
"EPO",0.595559837230272,103,0.0334415584415584,FALSE,0.00386727167032644,TRUE
"ApoE",0.595559837230272,104,0.0337662337662338,FALSE,0.00386727167032644,TRUE
"temp5alphaP",0.595559837230272,105,0.0340909090909091,FALSE,0.00386727167032644,TRUE
"IL10",0.595559837230272,106,0.0344155844155844,FALSE,0.00386727167032644,TRUE
"GDF",0.595559837230272,107,0.0347402597402597,FALSE,0.00386727167032644,TRUE
"SEMA5",0.595708310079645,108,0.0350649350649351,FALSE,0.00386823577973795,TRUE
"IGFBP",0.603786506243569,109,0.0353896103896104,FALSE,0.00392069159898421,TRUE
"CD23",0.610318086264323,110,0.0357142857142857,FALSE,0.00396310445626184,TRUE
"SIRP",0.610590614781156,111,0.036038961038961,FALSE,0.00396487412195556,TRUE
"CDH5",0.61789307469608,112,0.0363636363636364,FALSE,0.00401229269283169,TRUE
"FASLG",0.630261898305259,113,0.0366883116883117,FALSE,0.00409260972925493,TRUE
"NOTCH",0.630957970096482,114,0.037012987012987,FALSE,0.00409712967595118,TRUE
"LIFR",0.633491647843602,115,0.0373376623376623,FALSE,0.00411358212885456,TRUE
"PROS",0.637337279353631,116,0.0376623376623377,FALSE,0.00413855376203657,TRUE
"OCLN",0.640947104378592,117,0.037987012987013,FALSE,0.00416199418427657,TRUE
"TRAIL",0.644286881986543,118,0.0383116883116883,FALSE,0.00418368105186067,TRUE
"Netrin",0.647221003217531,119,0.0386363636363636,FALSE,0.00420273378712683,TRUE
"RELN",0.660041539940863,120,0.038961038961039,FALSE,0.00428598402559002,TRUE
"CSF3",0.665369433189672,121,0.0392857142857143,FALSE,0.00432058073499787,TRUE
"PECAM2",0.666147767091105,122,0.0396103896103896,FALSE,0.00432563485124094,TRUE
"EDN",0.669406478897722,123,0.0399350649350649,FALSE,0.00434679531751767,TRUE
"CLDN",0.670069317199082,124,0.0402597402597403,FALSE,0.0043510994623317,TRUE
"NECTIN",0.672387683968394,125,0.0405844155844156,FALSE,0.00436615379200256,TRUE
"WNT",0.678578012500788,126,0.0409090909090909,FALSE,0.0044063507305246,TRUE
"Prostaglandin",0.685225611841066,127,0.0412337662337662,FALSE,0.00444951696000693,TRUE
"RA",0.685959111046164,128,0.0415584415584416,FALSE,0.00445427994185821,TRUE
"L1CAM",0.688616915780001,129,0.0418831168831169,FALSE,0.00447153841415585,TRUE
"PECAM1",0.693142595029727,130,0.0422077922077922,FALSE,0.00450092594175148,TRUE
"TGFb",0.693814402753642,131,0.0425324675324675,FALSE,0.0045052883295691,TRUE
"temp2AG",0.69550880952173,132,0.0428571428571429,FALSE,0.00451629097092033,TRUE
"GAS",0.697241754271738,133,0.0431818181818182,FALSE,0.00452754385890739,TRUE
"IL1",0.70228697958713,134,0.0435064935064935,FALSE,0.00456030506225409,TRUE
"CD45",0.722210306905188,135,0.0438311688311688,FALSE,0.00468967731756616,TRUE
"TULP",0.735003598472082,136,0.0441558441558442,FALSE,0.00477275063942911,TRUE
"COMPLEMENT",0.74854998505804,137,0.0444805194805195,FALSE,0.00486071418868857,TRUE
"NEGR",0.766760565177046,138,0.0448051948051948,FALSE,0.00497896470894186,TRUE
"ANGPT",0.778389863195566,139,0.0451298701298701,FALSE,0.00505447963114004,TRUE
"CX3C",0.832768318370721,140,0.0454545454545455,FALSE,0.00540758648292676,TRUE
"ESAM",0.83360368583965,141,0.0457792207792208,FALSE,0.00541301094701071,TRUE
"THBS",0.842313503198558,142,0.0461038961038961,FALSE,0.00546956820258804,TRUE
"CSF",0.858949508335344,143,0.0464285714285714,FALSE,0.00557759420996977,TRUE
"CD86",0.865626155239875,144,0.0467532467532468,FALSE,0.00562094905999919,TRUE
"MHCI",0.866462362676335,145,0.0470779220779221,FALSE,0.00562637897841776,TRUE
"CD39",0.873553271390113,146,0.0474025974025974,FALSE,0.00567242384019554,TRUE
"COLLAGEN",0.89004887049994,147,0.0477272727272727,FALSE,0.00577953812012948,TRUE
"CD6",0.900274411603471,148,0.0480519480519481,FALSE,0.00584593773768488,TRUE
"IL4",0.908322272564714,149,0.0483766233766234,FALSE,0.00589819657509554,TRUE
"OSM",0.910389979462851,150,0.0487012987012987,FALSE,0.00591162324326527,TRUE
"CADM",0.924668976980043,151,0.049025974025974,FALSE,0.00600434400636392,TRUE
"NGL",0.925993117449594,152,0.0493506493506494,FALSE,0.00601294232110126,TRUE
"TENASCIN",0.936877623928122,153,0.0496753246753247,FALSE,0.00608362093459819,TRUE
"EGF",0.966920696837189,154,0.05,FALSE,0.00627870582361811,TRUE
