"","pval","rank","FDRcrit","FDR","p.adj","p.adjResult"
"SPP1",0.253274245414889,71,0.0224683544303797,FALSE,0.00160300155325879,TRUE
"SIRP",0.263428894714672,72,0.0227848101265823,FALSE,0.0016672714855359,TRUE
"PTPRM",0.2691397344336,73,0.0231012658227848,FALSE,0.00170341604071899,TRUE
"Cholesterol",0.276707703697917,74,0.0234177215189873,FALSE,0.00175131458036656,TRUE
"NGL",0.280286963854804,75,0.0237341772151899,FALSE,0.00177396812566331,TRUE
"MPZ",0.282674706377515,76,0.0240506329113924,FALSE,0.00178908042011085,TRUE
"IGFBP",0.284198264697288,77,0.0243670886075949,FALSE,0.00179872319428664,TRUE
"Netrin",0.288663182497865,78,0.0246835443037975,FALSE,0.001826982167708,TRUE
"FASLG",0.290172645697961,79,0.025,FALSE,0.00183653573226558,TRUE
"CypA",0.301377464413788,80,0.0253164556962025,FALSE,0.00190745230641638,TRUE
"BTLA",0.304070720354546,81,0.0256329113924051,FALSE,0.00192449823009207,TRUE
"PCDH",0.304844452989853,82,0.0259493670886076,FALSE,0.00192939527208768,TRUE
"FLRT",0.310685422039715,83,0.0262658227848101,FALSE,0.0019663634306311,TRUE
"SEMA4",0.311292948622133,84,0.0265822784810127,FALSE,0.00197020853558312,TRUE
"CDH1",0.318189369959993,85,0.0268987341772152,FALSE,0.00201385677189869,TRUE
"CADM",0.328457032140407,86,0.0272151898734177,FALSE,0.00207884197557219,TRUE
"SLITRK",0.364593490703119,87,0.0275316455696203,FALSE,0.00230755373862733,TRUE
"PECAM1",0.364953067967636,88,0.0278481012658228,FALSE,0.00230982954409896,TRUE
"UNC5",0.372724075862659,89,0.0281645569620253,FALSE,0.00235901313837126,TRUE
"ADGRL",0.379053995217754,90,0.0284810126582279,FALSE,0.00239907591909971,TRUE
"CD46",0.389780110384179,91,0.0287974683544304,FALSE,0.0024669627239505,TRUE
"JAM",0.396450971101622,92,0.0291139240506329,FALSE,0.00250918336140267,TRUE
"WNT",0.399693339700962,93,0.0294303797468354,FALSE,0.00252970468165166,TRUE
"PSAP",0.41534494087055,94,0.029746835443038,FALSE,0.00262876544854778,TRUE
"CD86",0.415457361498718,95,0.0300632911392405,FALSE,0.00262947697151087,TRUE
"NT",0.424295235415699,96,0.030379746835443,FALSE,0.00268541288237784,TRUE
"LIFR",0.442621520417129,97,0.0306962025316456,FALSE,0.00280140202795651,TRUE
"ApoE",0.444164781681842,98,0.0310126582278481,FALSE,0.00281116950431546,TRUE
"EDN",0.460473524410803,99,0.0313291139240506,FALSE,0.00291438939500509,TRUE
"GAS",0.460764634109315,100,0.0316455696202532,FALSE,0.00291623186145136,TRUE
"GAP",0.469630099796693,101,0.0319620253164557,FALSE,0.00297234240377654,TRUE
"TENASCIN",0.473911751791339,102,0.0322784810126582,FALSE,0.00299944146703379,TRUE
"CNTN",0.47447554591805,103,0.0325949367088608,FALSE,0.00300300978429146,TRUE
"CD39",0.475119914065778,104,0.0329113924050633,FALSE,0.00300708806370745,TRUE
"PRL",0.482955327566697,105,0.0332278481012658,FALSE,0.00305667928839682,TRUE
"BMP",0.487736326600142,106,0.0335443037974684,FALSE,0.00308693877595027,TRUE
"THY1",0.490785575863946,107,0.0338607594936709,FALSE,0.00310623782192371,TRUE
"ANGPT",0.503558907588376,108,0.0341772151898734,FALSE,0.00318708169359731,TRUE
"IL1",0.505165543715858,109,0.034493670886076,FALSE,0.00319725027668264,TRUE
"AGT",0.512904646197792,110,0.0348101265822785,FALSE,0.00324623193796071,TRUE
"SEMA6",0.515663779711814,111,0.035126582278481,FALSE,0.00326369480830262,TRUE
"NECTIN",0.521150908324287,112,0.0354430379746835,FALSE,0.00329842347040688,TRUE
"Desmosterol",0.522376851521425,113,0.0357594936708861,FALSE,0.00330618260456598,TRUE
"ANGPTL",0.536813651060439,114,0.0360759493670886,FALSE,0.00339755475354708,TRUE
"RA",0.54295463584636,115,0.0363924050632911,FALSE,0.00343642174586304,TRUE
"EGF",0.555727453056554,116,0.0367088607594937,FALSE,0.00351726236111743,TRUE
"NRG",0.565852436304457,117,0.0370253164556962,FALSE,0.00358134453357251,TRUE
"COMPLEMENT",0.568718079548443,118,0.0373417721518987,FALSE,0.00359948151612939,TRUE
"CSF3",0.582153455313378,119,0.0376582278481013,FALSE,0.00368451553995809,TRUE
"Glutamate",0.594121296995936,120,0.0379746835443038,FALSE,0.003760261373392,TRUE
"temp5alphaP",0.595559837230272,121,0.0382911392405063,FALSE,0.00376936605841944,TRUE
"ApoB",0.595559837230272,122,0.0386075949367089,FALSE,0.00376936605841944,TRUE
"IL10",0.595559837230272,123,0.0389240506329114,FALSE,0.00376936605841944,TRUE
"NRXN",0.61124173951238,124,0.0392405063291139,FALSE,0.00386861860450874,TRUE
"ApoA",0.618159560789664,125,0.0395569620253165,FALSE,0.00391240228347889,TRUE
"BAFF",0.621115748302306,126,0.039873417721519,FALSE,0.00393111233102725,TRUE
"OCLN",0.623299156925207,127,0.0401898734177215,FALSE,0.00394493137294435,TRUE
"NCAM",0.634534312209559,128,0.0405063291139241,FALSE,0.00401603995069341,TRUE
"NOTCH",0.664274504423315,129,0.0408227848101266,FALSE,0.00420426901533744,TRUE
"TULP",0.673510756124363,130,0.0411392405063291,FALSE,0.00426272630458458,TRUE
"IL16",0.685646609008748,131,0.0414556962025316,FALSE,0.00433953550005537,TRUE
"Prostaglandin",0.68819531146086,132,0.0417721518987342,FALSE,0.00435566652823329,TRUE
"HSPG",0.694375319887583,133,0.0420886075949367,FALSE,0.00439478050561762,TRUE
"temp2AG",0.704564706082359,134,0.0424050632911392,FALSE,0.0044592702916605,TRUE
"CLDN",0.725390285119493,135,0.0427215189873418,FALSE,0.00459107775392084,TRUE
"LT",0.726513025643926,136,0.0430379746835443,FALSE,0.00459818370660713,TRUE
"PROS",0.753660843361634,137,0.0433544303797468,FALSE,0.00477000533773186,TRUE
"MHCI",0.771610263387171,138,0.0436708860759494,FALSE,0.00488360926194412,TRUE
"Adenosine",0.774012500307038,139,0.0439873417721519,FALSE,0.00489881329308252,TRUE
"PTN",0.785648126169888,140,0.0443037974683544,FALSE,0.00497245649474613,TRUE
"CD23",0.795246298850441,141,0.044620253164557,FALSE,0.00503320442310406,TRUE
"TRAIL",0.81777764762127,142,0.0449367088607595,FALSE,0.00517580789633715,TRUE
"CDH5",0.824158971674987,143,0.045253164556962,FALSE,0.00521619602325941,TRUE
"PDGF",0.84606520901812,144,0.0455696202531646,FALSE,0.00535484309505139,TRUE
"RELN",0.866483802070406,145,0.0458860759493671,FALSE,0.00548407469664814,TRUE
"CX3C",0.881846185587611,146,0.0462025316455696,FALSE,0.00558130497207349,TRUE
"PECAM2",0.883695224824384,147,0.0465189873417722,FALSE,0.00559300775205306,TRUE
"Testosterone",0.893678348667249,148,0.0468354430379747,FALSE,0.00565619208017246,TRUE
"CD45",0.896590406858611,149,0.0471518987341772,FALSE,0.00567462282821906,TRUE
"CDH",0.898985423368129,150,0.0474683544303797,FALSE,0.00568978116055778,TRUE
"NEGR",0.900879469105317,151,0.0477848101265823,FALSE,0.0057017687918058,TRUE
"SEMA5",0.92332917978896,152,0.0481012658227848,FALSE,0.00584385556828456,TRUE
"IL4",0.938447633598049,153,0.0484177215189873,FALSE,0.00593954198479778,TRUE
"COLLAGEN",0.940621670686627,154,0.0487341772151899,FALSE,0.0059533017132065,TRUE
"ESAM",0.954140340208084,155,0.0490506329113924,FALSE,0.00603886291270939,TRUE
"THBS",0.960766787658375,156,0.0493670886075949,FALSE,0.00608080245353402,TRUE
"OSM",0.995397879414016,157,0.0496835443037975,FALSE,0.00629998657856972,TRUE
"CSF",0.99687746741197,158,0.05,FALSE,0.00630935105956943,TRUE
